Petition ID,Month,Date,Year,Priority,Filing Party,Ground (landlord): Capital Improvement,Ground (landlord): Comparable Rents,Ground (landlord): Extension of Time for Capital Improvements,Ground (landlord): Intent to Withdraw (Ellis),Ground (landlord): Other,Ground (landlord): Operating & Maintenance,Ground (landlord): Substantial Rehabilitation,Ground (landlord):  Costa-Hawkins,Ground (landlord):  Exemption,Ground (landlord): Rules and Regulations Section 1.21,Ground (landlord): Rules and Regulations Section 6.14,Ground (landlord): Rules and Regulations Section 6.15,Ground (landlord): SRO Hotel Vistor Policy Petition,Ground (landlord): Utility Passthrough Petition,Ground (landlord): Owner Move-In Disability Determination,Ground (landlord): Utility Passthrough Worksheet,Ground (landlord): Non-Comparable Rents,Ground (tenant): Decrease in Housing Services,Ground (tenant): Failure to Repair and Maintain,Ground (tenant): Passthrough Challenge,Ground (tenant): Summary Petition,Ground (tenant): Unlawful Rent Increase,Ground (tenant): Wrongful Eviction Report,Ground (tenant): Section 8 tenancy,Ground (tenant): SRO Hotel Vistor Policy Petition,Ground (tenant): Rules and Regulations Section 6.15,Ground (tenant): Other,Ground (tenant): Utility Passhtrough Hardship,Ground (tenant): Water Revenue Bond Passthrough Hardship,Ground (tenant): Capital Improvement Passthrough Hardship Petition,Ground (tenant): Wrongful Severance of Housing Service,Ground: Alternative Dispute Resolution,Address,Petition Source Zipcode,Supervisor District,Neighborhoods - Analysis Boundaries,Location0,Location1
L160645,3,29,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Capp Street,94110,9,Mission,-122.417666463719,37.7563058754319
L160394,3,3,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3100 Block Of 24th Street,94110,9,Mission,-122.415713588442,37.7523514547128
L160631,3,25,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1400 Block Of Filbert Street,94109,2,Russian Hill,-122.423358841349,37.7996433391064
L160636,3,29,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1000 Block Of Fell Street,94117,5,Hayes Valley,-122.435127733642,37.7744305493247
L160650,3,31,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Capp Street,94110,9,Mission,-122.417666463719,37.7563058754319
L160618,3,18,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1900 Block Of Grove Street,94117,5,Lone Mountain/USF,-122.448686682044,37.7745093810058
L160613,3,14,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1600 Block Of Leavenworth Street,94109,3,Nob Hill,-122.416722073301,37.7963614821398
L160720,4,18,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200 Block Of Euclid Avenue,94118,2,Presidio Heights,-122.449722643877,37.7846372475886
L160892,5,20,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,500 Block Of Oak Street,94102,5,Hayes Valley,-122.428351459374,37.7742307091915
L160654,4,6,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100 Block Of Duboce Avenue,94103,8,Mission,-122.423478504795,37.7697457853556
L160666,4,8,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200 Block Of Anzavista Avenue,94115,2,Lone Mountain/USF,-122.445397308062,37.7793848990527
L160664,4,7,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1200 Block Of 15th Avenue,94122,5,Inner Sunset,-122.472925296769,37.7646936952441
L160758,4,26,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1900 Block Of Washington Street,94109,2,Pacific Heights,-122.425348410275,37.7927918346358
L160684,4,13,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1100 Block Of Page Street,94117,5,Haight Ashbury,-122.439733696717,37.7719389860139
L160697,4,14,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,700 Block Of Corbett Avenue,94131,8,Twin Peaks,-122.44254968448,37.7543380181294
L160906,5,20,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3800 Block Of 17th Street,94114,8,Castro/Upper Market,-122.432541856277,37.7626979328772
L160812,5,5,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1000 Block Of Noe Street,94114,8,Noe Valley,-122.432054154882,37.7526211420093
L160899,5,19,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Clipper Street,94114,8,Noe Valley,-122.440449238871,37.7486965139631
L160699,4,14,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,200 Block Of Steiner Street,94117,5,Haight Ashbury,-122.432113601819,37.771655221243
L160804,5,4,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1300 Block Of South Van Ness Avenue,94110,9,Mission,-122.416255532118,37.7515676529233
L160853,5,16,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100 Block Of Sanchez Street,94114,8,Castro/Upper Market,-122.43108381309,37.7671998905471
L160696,4,14,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,700 Block Of Corbett Avenue,94131,8,Twin Peaks,-122.44254968448,37.7543380181294
L160766,4,26,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of Vermont Street,94107,10,Potrero Hill,-122.404365369809,37.7640272818448
L160846,5,9,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1200 Block Of 17th Avenue,94122,4,Inner Sunset,-122.475120957182,37.7645970342042
L160935,5,26,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1800 Block Of Divisadero Street,94115,2,Pacific Heights,-122.440268648148,37.7866308930097
L160944,5,31,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,700 Block Of Hayes Street,94102,5,Hayes Valley,-122.428744875404,37.7762032094245
L160732,4,21,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100 Block Of Sanchez Street,94114,8,Castro/Upper Market,-122.43108381309,37.7671998905471
L160674,4,13,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100 Block Of Duboce Avenue,94103,8,Mission,-122.424206499779,37.7698122626962
L160932,5,26,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1900 Block Of Ocean Avenue,94127,7,West of Twin Peaks,-122.462468381879,37.7254562993312
L160809,5,5,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Scott Street,94117,8,Haight Ashbury,-122.43504106814,37.7694973656236
L160651,4,4,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,400 Block Of Buena Vista Avenue East,94117,8,Castro/Upper Market,-122.440704688165,37.7668035179614
L160870,5,17,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Norton Street,94112,11,Outer Mission,-122.435780282602,37.7249572697515
L160772,4,27,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1800 Block Of Grant Avenue,94133,3,North Beach,-122.408357093556,37.8041380815224
L160721,4,19,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1300 Block Of Jackson Street,94109,3,Russian Hill,-122.417805154376,37.794551050733
L160784,4,28,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0 Block Of Manchester Street,94110,9,Bernal Heights,-122.414184195865,37.7459351319355
L160941,5,31,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,700 Block Of Hayes Street,94102,5,Hayes Valley,-122.428744875404,37.7762032094245
L150647,3,27,2015,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,146300 Block Of Alabama Street,94110,,,,
L160937,5,26,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,600 Block Of Geary Street,94102,3,Tenderloin,-122.41399503431,37.7866790146699
L160722,4,19,2016,No,landlord,true,false,false,false,false,false,false,false,false,false,false,false,,false,false,false,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1200 Block Of Jackson Street,94109,3,Nob Hill,-122.415660216455,37.7949369490081
